access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
rand_write,16,16m,write,33545.9856,2096.6944,0.0149,16777216.0000,16384.0000,0.0047,15.6284,1.1612,15.6289,32,0
seq_read,16,16m,read,32574.5603,2036.0065,0.0156,16777216.0000,16384.0000,0.0012,16.0943,7.0495,16.0950,32,0
rand_read,16,16m,read,41667.6237,2604.4264,0.0119,16777216.0000,16384.0000,0.0018,12.5817,0.5781,12.5826,32,0
seq_write,16,64m,write,40182.2845,627.8742,0.0428,16777216.0000,65536.0000,0.0046,13.0472,2.6151,13.0477,32,0
rand_write,16,64m,write,32163.2272,502.5656,0.0633,16777216.0000,65536.0000,0.0045,16.3004,8.8367,16.3009,32,0
seq_read,16,64m,read,44426.6383,694.2125,0.0449,16777216.0000,65536.0000,0.0017,11.8004,2.0970,11.8012,32,0
rand_read,16,64m,read,32423.0092,506.6321,0.0632,16777216.0000,65536.0000,0.0012,16.1695,9.9079,16.1702,32,0
seq_write,32,128k,write,1476.6416,11813.1423,0.0053,16777216.0000,128.0000,0.0082,710.1081,30.7575,710.1087,64,0
rand_write,32,128k,write,1450.1789,11601.4392,0.0052,16777216.0000,128.0000,0.0087,723.0661,41.9076,723.0666,64,0
seq_read,32,128k,read,12652.7661,101222.9606,0.0006,16777216.0000,128.0000,0.0015,82.8726,27.3673,82.8733,64,0
rand_read,32,128k,read,14198.1168,113585.8306,0.0005,16777216.0000,128.0000,0.0014,73.8526,15.5955,73.8532,64,0
seq_write,32,1m,write,14700.6784,14700.7821,0.0021,16777216.0000,1024.0000,0.0081,71.3279,37.1563,71.3284,64,0
rand_write,32,1m,write,17405.0562,17405.2030,0.0030,16777216.0000,1024.0000,0.0083,60.2450,11.7455,60.2455,64,0
seq_read,32,1m,read,24911.5610,24912.0681,0.0025,16777216.0000,1024.0000,0.0017,42.0911,26.3856,42.0919,64,0
rand_read,32,1m,read,32916.8469,32917.5343,0.0019,16777216.0000,1024.0000,0.0015,31.8546,7.5169,31.8553,64,0
seq_write,32,16m,write,34261.9048,2141.4038,0.0162,16777216.0000,16384.0000,0.0087,30.6042,14.8692,30.6047,64,0
rand_write,32,16m,write,33535.8107,2096.0198,0.0303,16777216.0000,16384.0000,0.0087,31.2669,16.1328,31.2674,64,0
seq_read,32,16m,read,36677.4901,2292.3935,0.0279,16777216.0000,16384.0000,0.0018,28.5885,16.8198,28.5891,64,0
rand_read,32,16m,read,37271.5133,2329.5357,0.0121,16777216.0000,16384.0000,0.0016,28.1326,16.1078,28.1334,64,0
seq_write,32,64m,write,40400.8585,631.2749,0.0627,16777216.0000,65536.0000,0.0095,25.9538,10.3154,25.9543,64,0
rand_write,32,64m,write,43220.9307,675.3419,0.0921,16777216.0000,65536.0000,0.0091,24.2603,8.6965,24.2608,64,0
seq_read,32,64m,read,41951.0311,655.5047,0.0605,16777216.0000,65536.0000,0.0017,24.9945,10.3759,24.9952,64,0
rand_read,32,64m,read,44402.8064,693.8153,0.0906,16777216.0000,65536.0000,0.0015,23.6144,7.7808,23.6151,64,0
seq_write,64,128k,write,2760.0350,22080.2934,0.0055,16777216.0000,128.0000,0.0170,759.8276,54.8716,759.8280,128,0
rand_write,64,128k,write,2452.3006,19618.4146,0.0060,16777216.0000,128.0000,0.0168,855.1770,74.0088,855.1774,128,0
seq_read,64,128k,read,23173.5195,185389.5407,0.0007,16777216.0000,128.0000,0.0026,90.4971,31.1692,90.4978,128,0
rand_read,64,128k,read,21115.4082,168924.4088,0.0005,16777216.0000,128.0000,0.0023,99.3179,55.5057,99.3186,128,0
seq_write,64,1m,write,18362.0731,18362.1469,0.0067,16777216.0000,1024.0000,0.0159,114.2106,51.4084,114.2111,128,0
rand_write,64,1m,write,17069.6711,17069.7374,0.0072,16777216.0000,1024.0000,0.0161,122.8579,60.4399,122.8584,128,0
seq_read,64,1m,read,43612.5892,43613.2522,0.0027,16777216.0000,1024.0000,0.0026,48.0852,20.6189,48.0859,128,0
rand_read,64,1m,read,44970.4633,44971.2579,0.0028,16777216.0000,1024.0000,0.0029,46.6332,17.7328,46.6340,128,0
seq_write,64,16m,write,34527.8552,2158.0078,0.0588,16777216.0000,16384.0000,0.0174,60.7375,27.9796,60.7380,128,0
rand_write,64,16m,write,33011.2096,2063.2190,0.0618,16777216.0000,16384.0000,0.0181,63.5279,26.3513,63.5285,128,0
seq_read,64,16m,read,53070.4065,3316.9597,0.0385,16777216.0000,16384.0000,0.0021,39.5157,16.3240,39.5164,128,0
rand_read,64,16m,read,54870.2446,3429.4535,0.0373,16777216.0000,16384.0000,0.0021,38.2195,14.6885,38.2202,128,0
seq_write,64,64m,write,34184.7372,534.1411,0.2370,16777216.0000,65536.0000,0.0175,61.3471,17.2441,61.3476,128,0
