timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvData_sum_o186i221,PortXmitWait_sum_o186i221,PortRcvPkts_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvData_sum_o186i222,PortXmitWait_sum_o186i222,PortRcvPkts_sum_o186i222,PortXmitPkts_sum_o186i222,PortXmitData_sum_o186i222,PortRcvPkts_sum_aggregate,PortXmitPkts_sum_aggregate,PortRcvData_sum_aggregate,PortXmitWait_sum_aggregate,PortXmitData_sum_aggregate
13,1592,1502,40,33,0,1296,1376,18,19,0,792,872,11,12,0,792,872,11,12,0,4622,0,76,80,4472,1527,1092,40,25,0,648,728,9,10,0,792,872,11,12,0,1296,1732,18,27,0,4424,0,74,78,4263,150,158,9046,0,8735
14,1160,990,34,26,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2844,0,52,60,3050,1320,787,37,21,0,360,360,5,5,0,513,495,7,7,0,864,1220,12,20,0,2862,0,53,61,3057,105,121,5706,0,6107
15,1178,997,35,27,0,882,871,13,13,0,360,360,5,5,0,396,374,7,7,0,2602,0,52,60,2816,1358,843,36,20,0,576,576,8,8,0,576,576,8,8,0,1080,1436,15,23,0,3431,0,59,67,3590,111,127,6033,0,6406
16,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,0,63,71,3896,1358,843,36,20,0,754,736,12,12,0,729,711,10,10,0,1080,1436,15,23,0,3726,0,65,73,3921,128,144,7427,0,7817
17,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,3431,0,59,67,3590,1853,1338,46,30,0,576,576,8,8,0,576,576,8,8,0,1094,1472,17,25,0,3962,0,71,79,4099,130,146,7393,0,7689
18,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,0,63,71,3896,1142,627,33,17,0,513,495,7,7,0,531,502,8,8,0,906,1328,18,26,0,2952,0,58,66,3092,121,137,6653,0,6988
19,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,1142,627,33,17,0,360,360,5,5,0,360,360,5,5,0,864,1220,12,20,0,2567,0,47,55,2726,94,110,5134,0,5452
20,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,0,51,59,3032,1583,1050,39,23,0,576,576,8,8,0,729,711,10,10,0,1080,1436,15,23,0,3773,0,64,72,3968,115,131,6610,0,7000
21,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,3431,0,59,67,3590,1430,915,37,21,0,576,576,8,8,0,576,576,8,8,0,1080,1436,15,23,0,3503,0,60,68,3662,119,135,6934,0,7252
22,1574,1415,39,31,0,1296,1296,18,18,0,801,783,11,11,0,736,729,11,11,0,4223,0,71,79,4407,2510,1923,52,35,0,513,495,7,7,0,513,495,7,7,0,864,1220,12,20,0,4133,0,69,78,4400,140,157,8356,0,8807
23,1142,983,33,25,0,864,864,12,12,0,504,504,7,7,0,576,576,8,8,0,2927,0,52,60,3086,1637,1122,43,27,0,432,432,6,6,0,360,360,5,5,0,864,1220,12,20,0,3134,0,58,66,3293,110,126,6061,0,6379
24,1358,1199,36,28,0,1112,1123,18,18,0,585,567,8,8,0,513,495,7,7,0,3384,0,61,69,3568,1358,843,36,20,0,801,783,11,11,0,736,729,11,11,0,1098,1443,16,24,0,3798,0,66,74,3993,127,143,7182,0,7561
25,1574,1415,39,31,0,1314,1303,19,19,0,961,961,15,15,0,1026,1015,15,15,0,4694,0,80,88,4875,1574,1059,39,23,0,2160,2088,30,29,0,792,792,11,11,0,1296,1652,18,26,0,5591,0,89,98,5822,169,186,10285,0,10697
26,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,0,51,59,3032,1295,762,35,19,0,360,360,5,5,0,513,495,7,7,0,864,1220,12,20,0,2837,0,51,59,3032,102,118,5674,0,6064
27,1706,1442,53,39,0,864,864,12,12,0,378,367,6,6,0,360,360,5,5,0,3033,0,62,76,3308,1142,627,33,17,0,410,410,9,9,0,360,360,5,5,0,864,1220,12,20,0,2617,0,51,59,2776,113,135,5650,0,6084
28,1467,1322,41,33,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3824,0,68,76,4005,1358,843,36,20,0,729,711,10,10,0,729,711,10,10,0,1080,1436,15,23,0,3701,0,63,71,3896,131,147,7525,0,7901
29,1358,3155,36,52,0,1080,3036,15,39,0,736,2685,11,35,0,729,2667,10,34,0,11543,0,160,72,3903,1358,2799,36,44,0,576,2532,8,32,0,576,2532,8,32,0,1080,3392,15,47,0,11255,0,155,67,3590,315,139,22798,0,7493
30,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,1320,787,37,21,0,378,367,6,6,0,513,495,7,7,0,918,1241,15,23,0,2890,0,57,65,3129,104,120,5457,0,5855
31,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,0,51,59,3032,1156,663,35,19,0,367,378,6,6,0,360,360,5,5,0,864,1220,12,20,0,2621,0,50,58,2747,101,117,5458,0,5779
32,1358,1279,36,29,0,1080,1160,15,16,0,576,656,8,9,0,576,656,8,9,0,3751,0,63,67,3590,2121,1190,63,33,0,736,809,11,12,0,729,791,10,11,0,1098,1523,16,25,0,4313,0,81,100,4684,144,167,8064,0,8274
33,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,0,63,71,3896,1530,978,39,22,0,792,792,11,11,0,747,718,11,11,0,1116,1806,17,33,0,4294,0,77,78,4185,140,149,7995,0,8081
34,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,1574,1059,39,23,0,576,576,8,8,0,792,792,11,11,0,1278,1601,20,28,0,4028,0,70,78,4220,117,133,6595,0,6946
35,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,0,63,71,3896,1214,699,34,18,0,729,711,10,10,0,657,639,9,9,0,936,1292,13,21,0,3341,0,58,66,3536,121,137,7042,0,7432
36,30317367,31353,32745,1583,25249436,76907960,49272,75443,2472,51557201,15859155,9272,15609,292,7785712,3707,20431,53,888,0,110328,84592349,5235,123850,123088189,603809727,321867,593412,14292,702220759,595447262,192426,582789,12413,757951541,758609018,224810,742659,12495,753136375,678825521,268485,664492,10675,673327811,1007588,2886636486,49875,2583352,2636691528,55110,2707202,1117916,2971228835,2759779717
37,2766333882,788152,2707669,46166,1696218973,2288185635,676825,2239520,41741,1808192642,2601937846,741168,2546695,43173,1810892990,2745192917,773269,2686996,44034,1753750070,2979414,7069054675,175114,10180880,10401650280,1342831819,414283,1314084,26657,1704815876,1422989690,477064,1392391,33501,2031335849,2133354598,616314,2087938,36212,2159592845,1883299500,563684,1843114,34679,2129750003,2071345,8025494573,131049,6637527,6782475607,306163,16818407,5050759,15094549248,17184125887
38,2586214633,765985,2531369,46294,1830691842,2195630268,652308,2149076,39298,1846864342,2416798772,684992,2365496,38966,1899894198,2493700007,720876,2440846,42015,1971082509,2824161,7548532891,166573,9486787,9692343680,1386025731,423547,1356366,26682,1725784319,1469581607,462475,1438068,30294,2022361378,2191430280,635797,2144784,37716,2114614598,1897926681,550883,1857443,32440,2127907442,2072702,7990667737,127132,6796661,6944964299,293705,16283448,4896863,15539200628,16637307979
39,2760791469,810377,2702227,48598,1807913358,2305712695,702598,2256717,44510,1986502726,2489930203,721106,2437109,42439,1954469730,2516985087,728651,2463590,43046,1990427897,2962732,7739313711,178593,9859643,10073419454,1319886793,405792,1291613,25938,1760480049,1496646412,478263,1464552,31978,2093806868,2115830765,615223,2070799,36276,2148196917,1888234840,565091,1847993,34703,2178378984,2064369,8180862818,128895,6674957,6820598810,307488,16534600,5027101,15920176529,16894018264
40,2680857575,801634,2624001,49312,1869793607,2307076618,697390,2258145,43257,2072049923,2471643162,705418,2419169,40738,1959426693,2463662731,711724,2411416,41594,2024327647,2916166,7925597870,174901,9712731,9923240086,1338903078,404646,1310355,25115,1681506019,1454382604,468602,1423151,31561,1961861342,2086324534,619765,2041918,38014,2184153345,1899094560,569747,1858492,35051,2025513915,2062760,7853034621,129741,6633916,6778704776,304642,16346647,4978926,15778632491,16701944862
41,2665422657,771249,2608869,45228,1811877695,2316531106,697630,2267326,43225,2000955611,2397613444,696242,2346738,41245,1968783959,2578558496,768168,2523837,47185,1943936083,2933289,7725553348,176883,9746770,9958125703,1294236704,401869,1266534,25624,1723374426,1407721670,449706,1377518,30064,2014779333,2068895567,601000,2024902,35366,2186703715,1969330167,575351,1927344,34296,2073882962,2027926,7998740436,125350,6596298,6740184108,302233,16343068,4961215,15724293784,16698309811
42,2717730237,802110,2660130,48495,1829958028,2262671384,680673,2214702,42132,1993119313,2524144102,709404,2470604,39865,1952153659,2473353080,712735,2420942,41247,1974529262,2904922,7749760262,171739,9766378,9977898803,1372370967,412601,1343009,25599,1681739058,1495514351,480386,1463459,32111,2095381888,2034099855,593209,1990778,35288,2165839905,1923919663,573507,1882860,34977,2190481076,2059703,8133441927,127975,6680106,6825904836,299714,16446484,4964625,15883202189,16803803639
43,2707988855,810110,2650468,49808,1768064445,2298534795,697294,2249781,43304,1975413059,2491112210,710844,2438222,41132,1988344108,2468591379,731740,2416198,44688,1983512558,2949988,7715334170,178932,9754669,9966227239,1344731303,423244,1315935,27880,1642694970,1418162159,448406,1387754,29512,2045833625,2107251651,612297,2062430,36229,2185791611,1924409737,568061,1883294,34319,2143568684,2052008,8017888890,127940,6649413,6794554850,306872,16404082,5001996,15733223060,16760782089
44,2580649020,765732,2525901,46570,1836196375,2450724579,716187,2398696,42998,1942378655,2460558187,695699,2408383,39254,1992695695,2599702504,734598,2544594,41615,1941324533,2912216,7712595258,170437,9877574,10091634290,1320042542,409720,1291795,26136,1785378526,1417279474,452727,1386902,30315,1986805678,2021463093,601595,1978427,36726,2198838460,1830546264,547432,1791498,33371,2067717232,2011474,8038739896,126548,6448622,6589331373,296985,16326196,4923690,15751335154,16680965663
