timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvData_sum_o186i221,PortXmitWait_sum_o186i221,PortRcvPkts_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvData_sum_o186i222,PortXmitWait_sum_o186i222,PortRcvPkts_sum_o186i222,PortXmitPkts_sum_o186i222,PortXmitData_sum_o186i222,PortRcvPkts_sum_aggregate,PortXmitPkts_sum_aggregate,PortRcvData_sum_aggregate,PortXmitWait_sum_aggregate,PortXmitData_sum_aggregate
55,1772216528,466468,1734687,23492,772585747,1519042702,400393,1486861,20235,683431822,1995852269,520130,1953553,25820,666913602,1916222937,507706,1875633,25588,700022325,1894697,2822953496,95135,7050734,7203334436,1059110708,281950,1036675,14411,549007834,928303437,245709,908593,12485,500071741,898766490,238418,879681,12312,442643348,974296010,260882,953655,13178,485905731,1026959,1977628654,52386,3778604,3860476645,147521,10829338,2921656,4800582150,11063811081
56,1637190638,432838,1602526,21888,626970249,1592538820,421759,1558824,21281,679126903,1983635901,519344,1941627,25825,705773991,1508662336,399250,1476681,20163,623184064,1773191,2635055207,89157,6579658,6722027695,1067549909,279781,1044930,14067,487653577,898766329,237393,879681,12062,496871864,854807721,230946,836678,11855,554275944,962093294,258794,941662,13427,585332738,1006914,2124134123,51411,3702951,3783217253,140568,10282609,2780105,4759189330,10505244948
57,1734239987,453618,1697492,22589,710795963,1588890399,418687,1555243,20824,647449435,1943727529,508860,1902524,25428,716980321,1567543632,409551,1534276,20733,667230714,1790716,2742456433,89574,6689535,6834401547,1046452495,274950,1024315,13697,493098904,898766419,235690,879694,11789,416568267,862653937,225694,844328,11333,394188331,978938505,257839,958186,12934,429249305,994173,1733104807,49753,3706523,3786811356,139327,10396058,2784889,4475561240,10621212903
58,1741551852,458514,1704719,22923,626693567,1642198174,429036,1607379,21573,618282600,1944728985,508869,1903499,25551,664703593,1534424745,403374,1501918,20105,557051821,1799793,2466731581,90152,6717515,6862903756,1078333264,284817,1055517,14258,504489542,852351292,226681,834247,11674,470429302,914837269,243064,895410,12522,493374559,1004020934,266873,982712,13560,507401004,1021435,1975694407,52014,3767886,3849542759,142166,10485401,2821228,4442425988,10712446515
59,1726709577,450493,1690132,22335,678047659,1558885542,408459,1525853,20430,672271917,1999779054,522909,1957414,25942,679918241,1541277554,403771,1508622,20040,654247290,1785632,2684485107,88747,6682021,6826651727,1009235751,269217,987800,13955,500924798,814252928,215905,796981,10920,478102310,839692769,224122,821884,11580,523581958,818595330,220243,801220,11410,502457162,929487,2005066228,47865,3407885,3481776778,136612,10089906,2715119,4689551335,10308428505
60,1780655624,468236,1742956,23371,687332942,1574075412,414837,1540748,20790,659451683,1993203710,523032,1950950,26256,651688231,1607601774,421384,1573558,21106,712839418,1827489,2711312274,91523,6808212,6955536520,1100781722,288880,1077478,14455,453815032,839692460,222413,821862,11297,390137626,814731773,216119,797449,10933,417019058,977780670,258343,957070,12939,472054098,985755,1733025814,49624,3653859,3732986625,141147,10462071,2813244,4444338088,10688523145
61,1713142324,447933,1676846,22470,706165247,1623998531,429302,1589567,21869,674028841,1920837641,504820,1880124,25485,724069327,1527852102,401055,1495458,20162,673999237,1783110,2778262652,89986,6641995,6785830598,1063867684,283349,1041313,14593,575902243,807526263,217857,790364,11420,511468195,914443173,242095,895033,12378,504144473,991679397,264844,970640,13555,468947045,1008145,2060461956,51946,3697350,3777516517,141932,10339345,2791255,4838724608,10563347115
62,1556898312,411984,1523953,20769,671427370,1523262031,401152,1490994,20030,636050376,1819118547,481237,1780577,24175,679713315,1525955438,401014,1493600,20092,658745500,1695387,2645936561,85066,6289124,6425234328,1079341830,285338,1056464,14519,583691694,879923832,234116,861246,11900,456738102,970499029,257785,949901,13128,484073566,1164531294,307806,1139815,15532,522575727,1085045,2047079089,55079,4007426,4094295985,140145,10296550,2780432,4693015650,10519530313
63,1630281946,428986,1595753,21447,628689307,1790681917,468509,1752744,23499,624604444,1637072813,427758,1602342,21580,562271800,1371357765,359295,1342300,17942,583446180,1684548,2399011731,84468,6293139,6429394441,1143502175,299591,1119298,14872,412630549,961462310,253313,941041,12793,466604313,962060096,253569,941651,12728,462664990,1085012171,285636,1062018,14280,475301435,1092109,1817201287,54673,4064008,4152036752,139141,10357147,2776657,4216213018,10581431193
64,1541002552,400317,1508344,19870,554230456,1491625103,393072,1460025,19665,546624928,1424308495,376280,1394173,18728,561058412,1151940705,303029,1127529,15147,538398132,1472698,2200311928,73410,5490071,5608876855,1315986153,351786,1288149,17517,557851072,1047965901,281342,1025725,14198,522370890,1016914111,272410,995343,13741,383086689,1141817585,303596,1117573,15070,476917143,1209134,1940225794,60526,4426790,4522683750,133936,9916861,2681832,4140537722,10131560605
65,1443204113,383341,1412702,18754,512877365,1514446159,399239,1482358,19564,532246686,1176862233,316499,1151919,15854,532051927,928303881,250282,908636,12435,533924174,1349361,2111100152,66607,4955615,5062816386,1345509184,350662,1316959,17535,507237677,1061476773,277816,1038960,13915,448406411,983157596,261069,962305,13202,421047149,1223672871,324837,1197722,16587,520441310,1214384,1897132547,61239,4515946,4613816424,127846,9471561,2563745,4008232699,9676632810
66,1374569306,358551,1345438,17834,572522551,1596624516,417713,1562813,20762,572373200,1094721413,287097,1071506,14397,508922104,957284312,251206,936979,12606,407447135,1314567,2061264990,65599,4916736,5023199547,1337601318,352161,1309250,17678,537444727,1202574811,314314,1177072,15578,469484878,1151940191,301501,1127507,15096,489319267,1225854297,322339,1199881,15964,460596860,1290315,1956845732,64316,4813710,4917970617,129915,9730446,2604882,4018110722,9941170164
67,1129760631,299335,1105884,14721,457828640,1318343065,347749,1290411,17379,516753854,794645271,211056,777830,10464,355360126,746862783,198773,731036,10003,348184185,1056913,1678126805,52567,3905161,3989611750,1514822761,398283,1482706,19918,518450090,1408287584,368108,1378433,18315,443133410,1130842322,296891,1106868,14841,447656769,1280915569,340597,1253760,17293,505896742,1403879,1915137011,70367,5221767,5334868236,122934,9126928,2460792,3593263816,9324479986
68,936665657,246483,916830,12253,370486421,1248990282,328015,1222513,16362,402447328,701677742,184888,686778,9376,316561095,740578847,193918,724899,9635,323069698,953304,1412564542,47626,3551020,3627912528,1489505708,388702,1457958,19322,478271167,1498175048,390382,1466376,19319,464590858,1392454934,363807,1362933,18067,389644819,1521355147,398478,1489079,19821,493857351,1541369,1826364195,76529,5776346,5901490837,124155,9327366,2494673,3238928737,9529403365
69,996164896,259281,975071,12812,437810911,1443090096,376084,1412491,18826,535349371,502128097,133582,491499,6747,231623131,538092798,144474,526695,7395,282843770,913421,1487627183,45780,3405756,3479475887,1485285922,390344,1453823,19566,509548978,1478039592,389306,1446666,19698,537522701,1472626298,385090,1441390,19310,479903986,1540139809,402060,1507489,19907,515956883,1566800,2042932548,78481,5849368,5976091621,124261,9255124,2480221,3530559731,9455567508
70,869230786,229771,850836,11604,406219990,1232112671,324540,1206027,16031,481341669,509736705,135306,498936,6892,292000010,551059955,145832,539368,7449,291030868,835449,1470592537,41976,3095167,3162140117,1533811011,399361,1501315,19718,476559937,1494031399,392856,1462339,19659,486269027,1426211634,372854,1395980,18542,437683861,1475279327,387498,1444016,19274,506382518,1552569,1906895343,77193,5803650,5929333371,119169,8898817,2388018,3377487880,9091473488
71,907206805,237442,888022,11775,383720814,1354863171,354216,1326163,17722,503895593,578620983,152521,566345,7772,264938693,544323679,143731,532787,7235,284026809,887910,1436581909,44504,3313317,3385014638,1508722417,393044,1476745,19461,494824179,1428964253,372580,1398667,18470,483254304,1462793727,381428,1431792,18843,419493604,1545385553,403757,1512607,20140,496669803,1550809,1894241890,76914,5819811,5945865950,121418,9133128,2438719,3330823799,9330880588
72,924050161,244280,904522,12131,467047530,1315825215,346504,1287943,17322,508207161,586519134,155134,574089,7808,273599192,544323648,142929,532778,7152,258392312,888847,1507246195,44413,3299332,3370718158,1465054599,382123,1434031,18918,556847916,1462662592,382098,1431625,19081,495611028,1461064905,383061,1430065,19219,506755329,1561237794,409681,1528155,20332,492508128,1556963,2051722401,77550,5823876,5950019890,121963,9123208,2445810,3558968596,9320738048
73,847876008,223283,829928,11091,394891339,1265869353,333619,1239048,16560,434842619,519006525,137309,508011,6832,238099426,493689235,130965,483225,6540,238687550,825176,1306520934,41023,3060212,3126441121,1524702090,397389,1492383,19725,451041716,1370073117,359192,1341036,17839,450390937,1316503272,346915,1288596,17356,399869044,1549153474,407766,1516345,20311,458514244,1511262,1759815941,75231,5638360,5760431953,116254,8698572,2336438,3066336875,8886873074
74,358665627,97607,351155,4733,173156987,856572418,225484,838464,10955,223586731,329126573,87505,322170,4235,107425222,396639478,106223,388241,5343,179821498,516819,683990438,25266,1900030,1941004096,1759557972,457019,1722317,22360,338912336,1274626250,332519,1247588,16417,296408323,1113964373,291398,1090353,14455,310439209,1446338421,377266,1415685,18521,329818583,1458202,1275578451,71753,5475943,5594487016,97019,7375973,1975021,1959568889,7535491112
75,25319915,8342,24870,353,11899548,177222856,48073,173487,2262,42548121,67513954,19346,66097,949,35424377,270052778,74265,264352,3648,105036145,150026,194908191,7212,528806,540109503,1805973646,469515,1767768,22979,263620189,1334426810,346719,1306147,17018,240708310,1223672729,319433,1197742,15754,269963214,1426212363,372216,1395998,18350,304513019,1507883,1078804732,74101,5667655,5790285548,81313,6196461,1657909,1273712923,6330395051
76,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,520,513,8,8,0,2855,0,52,60,3039,1531700935,396234,1499254,19391,234082215,1260307795,325812,1233565,16012,224547495,911425222,236441,892106,11589,182166163,831253916,216721,813628,10607,182348136,1175208,823144009,57599,4438553,4534687868,57651,4438613,1178063,823144009,4534690907
77,2077,1741,63,47,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,3460,0,71,87,3814,1468408105,381411,1437337,18595,217738486,1291185245,334306,1263806,16339,184113662,831253848,216274,813636,10590,174444505,822814754,214073,805373,10454,172631839,1146064,748928492,55978,4320152,4413661952,56049,4320239,1149524,748928492,4413665766
78,1907,1199,61,28,0,1080,1080,15,15,0,576,576,8,8,0,576,1019,8,29,0,3874,0,80,92,4139,1075989203,279595,1053210,13637,173536227,1236331179,319751,1210110,15613,173927339,556982642,145188,545182,7081,123074224,704667511,184362,689734,9042,131107489,928896,601645279,45373,3498236,3573970535,45453,3498328,932770,601645279,3573974674
79,1511,1334,38,30,0,1080,1080,15,15,0,576,576,8,8,0,729,711,10,10,0,3701,0,63,71,3896,1063330144,275144,1040814,13445,183988388,1220609200,317234,1194747,15511,175787173,519006267,135101,508008,6607,114765840,675130423,176239,660828,8566,129428522,903718,603969923,44129,3404397,3478076034,44192,3404468,907419,603969923,3478079930
80,1142,983,33,25,0,887,887,13,13,0,360,360,5,5,0,360,360,5,5,0,2590,0,48,56,2749,1025354185,266568,1003648,13009,165688439,1094890558,282881,1071666,13861,169463903,497908329,129306,487352,6322,104396131,708886613,184396,693861,8980,114460051,863151,554008524,42172,3256527,3327039685,42220,3256583,865741,554008524,3327042434
81,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,2837,0,51,59,3032,1135063758,295237,1111042,14376,162472134,1232999574,320012,1206883,15631,157168497,556982219,144849,545174,7118,98547131,628715425,164301,615399,7992,110494490,924399,528682252,45117,3478498,3553760976,45168,3478557,927236,528682252,3553764008
82,1358,1199,36,28,0,1105,1105,17,17,0,576,576,8,8,0,576,576,8,8,0,3456,0,61,69,3615,1126623731,292114,1102768,14266,149435005,1183779480,306393,1158657,14962,147919292,556982541,144821,545180,7058,95455237,707496099,183928,692496,8977,95943592,927256,488753126,45263,3499101,3574881851,45324,3499170,930712,488753126,3574885466
83,1727,1550,41,33,0,1296,1296,18,18,0,792,792,11,11,0,945,927,13,13,0,4565,0,75,83,4760,1059111128,274564,1036706,13426,173349052,1227892059,317839,1201851,15577,171967995,561201905,145611,549298,7166,121192356,675130395,176811,660824,8625,121511696,914825,588021099,44794,3448679,3523335487,44869,3448762,919390,588021099,3523340247
84,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,1048742841,272337,1026549,13298,182299237,1215233205,314300,1189464,15365,171975954,565420967,146514,553428,7184,122231073,708886667,184571,693864,9005,109105309,917722,585611573,44852,3463305,3538283680,44899,3463360,920289,585611573,3538286406
85,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,2837,0,51,59,3032,1094979806,283497,1071792,13877,161988336,1189917415,309878,1164714,15072,161444714,551446558,143796,539787,7002,105168822,679349800,177040,664957,8626,122278887,914211,550880759,44577,3441250,3515693579,44628,3441309,917048,550880759,3515696611
86,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,1066719091,277576,1044149,13554,201558818,1189916235,308549,1164691,15119,181662384,548853722,142329,537196,6983,128329415,746078760,194221,730287,9454,117730549,922675,629281166,45110,3476323,3551567808,45157,3476378,925242,629281166,3551570534
87,1920,1334,57,30,0,1296,1296,18,18,0,576,576,8,8,0,729,1057,10,26,0,4263,0,82,93,4521,1066251924,276184,1043661,13515,188524441,1261648848,327393,1234905,16009,158439703,561201940,146623,549306,7151,119509004,721545724,188503,706260,9190,112492401,938703,578965549,45865,3534132,3610648436,45947,3534225,942966,578965549,3610652957
88,1618,1415,41,31,0,1080,1080,15,15,0,792,792,11,11,0,792,836,11,13,0,4123,0,70,78,4282,980536375,255270,959782,12434,174551775,978938487,253881,958190,12357,141695096,544323307,141181,532779,6909,125146612,856571207,222982,838407,10907,134897587,873314,576291070,42607,3289158,3360369376,42677,3289236,877437,576291070,3360373658
89,1383,1118,39,27,0,864,864,12,12,0,360,360,5,5,0,513,583,7,11,0,2925,0,55,63,3120,620683951,161617,607552,7864,95409375,569640955,148334,557572,7225,91269169,329126346,86013,322155,4163,53211221,421957015,111393,413014,5367,54242529,507357,294132294,24619,1900293,1941408267,24674,1900356,510282,294132294,1941411387
90,1358,1279,36,29,0,1080,1160,15,16,0,576,656,8,9,0,576,656,8,9,0,3751,0,63,67,3590,519007948,136218,508067,6609,64544575,438834945,114485,429539,5547,59765163,324906916,85038,318023,4134,50471714,392420187,103070,384109,5024,50513728,438811,225295180,21314,1639738,1675169996,21377,1639805,442562,225295180,1675173586
91,2124,1334,67,30,0,1080,1080,15,15,0,576,576,8,8,0,729,1398,10,41,0,4388,0,94,100,4509,312248717,81129,305662,3950,35867437,198319823,52064,194123,2509,22507605,206759062,54064,202381,2633,23990026,177222832,48079,173485,2266,18872088,235336,101237156,11358,875651,894550434,11452,875751,239724,101237156,894554943
92,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,0,47,55,2726,312248677,81424,305661,3972,37645996,210978491,54982,206511,2679,31736899,208468532,54833,204064,2640,37562585,147685629,39565,144568,1885,26060342,230804,133005822,11176,860804,879381329,11223,860859,233371,133005822,879384055
93,1511,1334,38,30,0,1080,1080,15,15,0,576,576,8,8,0,729,711,10,10,0,3701,0,63,71,3896,320687615,83962,313919,4077,43788304,206758689,53735,202377,2611,31655333,212840265,55162,208317,2690,28432015,126587752,34255,123916,1629,23833451,227114,127709103,11007,848529,866874321,11070,848600,230815,127709103,866878217
94,1376,1206,37,29,0,1080,1080,15,15,0,576,576,8,8,0,594,583,9,9,0,3445,0,61,69,3626,312248670,81297,305660,3974,54056145,210978505,55159,206513,2664,45783604,240515455,62713,235421,3037,33252576,135026901,36132,132173,1722,30576604,235301,163668929,11397,879767,898769531,11458,879836,238746,163668929,898773157
95,2006,1118,70,27,0,864,864,12,12,0,360,360,5,5,0,520,1427,8,48,0,3769,0,92,95,3750,215206279,61336,210999,2945,25066629,164563427,43853,161085,2122,22049940,379761135,99053,371716,4818,40537623,232076678,61025,227163,2953,24933648,265267,112587840,12838,970963,991607519,12930,971058,269036,112587840,991611269
96,62356,22303,2799,827,0,6434,11362,87,317,0,5351,5864,73,73,0,5449,34097,75,1422,0,73626,0,2639,3034,79590,47322,57884,2116,2607,0,5818,6366,76,76,0,67521057,26405,66188,955,2989926,5691,6945,79,87,0,97600,2989926,3725,68459,67579888,6364,71493,171226,2989926,67659478
97,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,2837,0,51,59,3032,1142,627,33,17,0,360,360,5,5,0,513,495,7,7,0,1017,1355,14,22,0,2837,0,51,59,3032,102,118,5674,0,6064
98,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,3431,0,59,67,3590,1358,843,36,20,0,792,792,11,11,0,576,576,8,8,0,1080,1436,15,23,0,3647,0,62,70,3806,121,137,7078,0,7396
99,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,2837,0,51,59,3032,1358,843,36,20,0,360,360,5,5,0,729,711,10,10,0,1233,1571,17,25,0,3485,0,60,68,3680,111,127,6322,0,6712
100,1142,1472,33,31,0,864,1353,12,18,0,360,849,5,11,0,360,849,5,11,0,4523,0,71,55,2726,1260,1234,36,26,0,432,921,6,12,0,360,849,5,11,0,864,1709,12,26,0,4713,0,75,59,2916,146,114,9236,0,5642
101,1580,1403,41,33,0,1080,1080,15,15,0,576,576,8,8,0,752,734,11,11,0,3793,0,67,75,3988,1548,1033,40,24,0,720,720,10,10,0,952,945,14,14,0,1449,1787,20,28,0,4485,0,76,84,4669,143,159,8278,0,8657
102,1574,1415,39,31,0,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,4295,0,71,79,4454,1358,843,36,20,0,583,594,9,9,0,590,612,10,10,0,1080,1436,15,23,0,3485,0,62,70,3611,133,149,7780,0,8065
103,2077,1741,63,47,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,3460,0,71,87,3814,1142,627,33,17,0,360,360,5,5,0,541,567,11,11,0,1017,1355,14,22,0,2909,0,55,63,3060,126,150,6369,0,6874
104,1302,1136,36,28,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,2855,0,52,60,3039,1358,843,36,20,0,576,576,8,8,0,576,576,8,8,0,1080,1436,15,23,0,3431,0,59,67,3590,111,127,6286,0,6629
105,1365,1217,37,29,0,1087,1098,16,16,0,576,576,8,8,0,576,576,8,8,0,3467,0,61,69,3604,1511,978,38,22,0,576,576,8,8,0,765,725,12,12,0,1080,1436,15,23,0,3715,0,65,73,3932,126,142,7182,0,7536
106,1590,1424,40,32,0,1087,1098,16,16,0,576,576,8,8,0,729,711,10,10,0,3809,0,66,74,3982,1142,627,33,17,0,360,360,5,5,0,360,360,5,5,0,864,1220,12,20,0,2567,0,47,55,2726,113,129,6376,0,6708
107,1232,1062,35,27,0,864,864,12,12,0,360,360,5,5,0,378,367,6,6,0,2653,0,50,58,2834,1333,769,36,20,0,360,360,5,5,0,513,495,7,7,0,864,1220,12,20,0,2844,0,52,60,3070,102,118,5497,0,5904
