timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvPkts_sum_o186i221,PortRcvData_sum_o186i221,PortXmitData_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvPkts_sum_o186i222,PortRcvData_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvData_sum_aggregate,PortXmitPkts_sum_aggregate,PortXmitWait_sum_aggregate,PortRcvPkts_sum_aggregate,PortXmitData_sum_aggregate
14,342936293,111788,338837,5995,242748666,392728104,149717,384657,8337,263878634,297503547,96100,291322,6145,258390624,349959281,125141,342778,6437,194908314,26914,482746,1383127225,959926238,1357594,573828025,316686,564160,13440,687014357,491156847,158551,480871,9319,706885380,443593483,148745,434279,9053,629949304,417748510,129514,408979,7178,501848842,38990,753496,1926326865,2525697883,1888289,1236242,3245883,3485624121,65904,3309454090
15,2560048369,773818,2505804,47951,1898615764,2320961267,668825,2271770,38788,2069017825,2422548681,742204,2371167,46836,1963538542,2683598755,775657,2626745,45019,1829406907,178594,2960504,9987157072,7760579038,9775486,1920896994,595184,1879996,38168,2202781522,1765881688,531232,1728227,33178,2300140003,1533821267,486560,1501046,32123,2157453583,1533945426,465012,1501116,29085,1918502979,132554,2077988,6754545375,8578878087,6610385,5038492,16385871,16339457125,311148,16741702447
16,2575006092,734276,2520422,42031,1895909217,2526172355,720122,2472594,41547,1965490638,2499001107,739529,2445956,44962,1951446858,2667954739,772131,2611347,45393,1862763455,173933,2966058,10268134293,7675610168,10050319,1847202542,578126,1807779,37651,2299366869,1735743952,512685,1698815,30689,2348088169,1618220189,491708,1583682,30873,2094249494,1531582979,460151,1498857,28340,1894964865,127553,2042670,6732749662,8636669397,6589133,5008728,16639452,16312279565,301486,17000883955
17,2431375690,721078,2379768,44021,1936736493,2547283633,724605,2493235,41721,1976292120,2622469694,760372,2566803,44841,1903702657,2660049708,770851,2603577,45694,1852455164,176277,2976906,10261178725,7669186434,10043383,1812265109,561225,1773603,36053,2282114139,1746612129,503044,1709401,29433,2287744778,1609262856,493442,1574924,31495,2012029724,1515740273,448587,1483291,27216,1833720541,124197,2006298,6683880367,8415609182,6541219,4983204,16584602,16084795616,300474,16945059092
18,2523387353,770746,2469844,48756,1984680062,2399096801,696731,2348244,40904,2034135864,2479836515,748692,2427170,46865,2003829239,2708908367,795202,2651450,47514,1831414258,184039,3011371,10111229036,7854059423,9896708,1843204571,593990,1803923,39892,2271543950,1721619417,506614,1684896,30509,2332356064,1587837002,499284,1553856,32623,2078707146,1531042128,474898,1498290,30475,1764377194,133499,2074786,6683703118,8446984354,6540965,5086157,16437673,16301043777,317538,16794932154
19,2535104346,746915,2481312,44755,1909805059,2457994569,716449,2405857,42488,1997059634,2511682999,729430,2458388,43025,1960501520,2664932401,794054,2608367,48688,1907554145,178956,2986848,10169714315,7774920358,9953924,1820010514,558466,1781199,35535,2303645064,1712556390,514896,1676059,32061,2299232185,1599021153,483905,1564850,30304,2153900205,1494378585,463539,1462328,29925,1902943147,127825,2020806,6625966642,8659720601,6484436,5007654,16438360,16434640959,306781,16795680957
20,2492579453,740190,2439874,44113,1946067127,2406015289,686639,2355135,38523,1982858167,2540699207,747935,2486915,44097,1969469956,2631369899,793281,2575642,48572,1874300600,175305,2968045,10070663848,7772695850,9857566,1808974841,565722,1770502,36061,2282423940,1702764783,499387,1666550,29343,2360289377,1595817162,479605,1561759,29293,2071927649,1479025880,451964,1447396,27915,1919003771,122612,1996678,6586582666,8633644737,6446207,4964723,16303773,16406340587,297917,16657246514
21,2479311958,723549,2426742,42896,1907831158,2443225581,709914,2391410,41993,2033011702,2572992352,741191,2518412,43211,1958790046,2667649179,770090,2611046,45345,1901044967,173445,2944744,10163179070,7800677873,9947610,1796948266,546178,1758651,34260,2308501730,1703061854,509396,1666751,31351,2321492825,1556518581,482071,1523226,31152,2062180294,1487033445,439354,1455219,26710,1961496423,123473,1976999,6543562146,8653671272,6403847,4921743,16351457,16454349145,296918,16706741216
22,2522307843,728490,2468761,43019,1891352757,2372714766,669210,2322378,38033,2060236128,2510627099,714081,2457394,41087,1980595791,2638190886,752678,2582236,43259,1921114678,165398,2864459,10043840594,7853299354,9830769,1815248054,554778,1776527,35224,2266806195,1771306614,516907,1733588,30685,2306578400,1618926514,488051,1584344,30184,2139894793,1459966247,430047,1428752,25803,1921655797,121896,1989783,6665447429,8634935185,6523211,4854242,16353980,16488234539,287294,16709288023
23,2606180583,768582,2550922,46176,1902240386,2503998418,708817,2450890,40271,1964671682,2384987217,713968,2334332,44105,2003748022,2696333545,775122,2639129,45429,1870327030,175981,2966489,10191499763,7740987120,9975273,1903172823,595491,1862559,38535,2196181448,1728823517,498904,1692011,29250,2320398349,1567283112,491500,1533763,32031,2131087034,1597535888,475595,1563369,29291,2008465647,129107,2061490,6796815340,8656132478,6651702,5027979,16626975,16397119598,305088,16988315103
24,2354698537,691310,2304757,41607,1813301354,2360474445,661767,2310403,37281,1960014593,2213273183,658579,2166331,39953,1939564759,2476601925,736454,2424042,44665,1803870257,163506,2748110,9405048090,7516750963,9205533,1918593651,574833,1877692,35633,2184578659,1740455182,506685,1703330,30242,2155145039,1537395591,474851,1504507,30551,1914970286,1398497482,443737,1368531,29001,1729496199,125427,2000106,6594941906,7984190183,6454060,4748216,15659593,15500941146,288933,15999989996
25,2474946550,720541,2422452,42421,1920711262,2546723947,703347,2492769,38229,1916047892,2201017437,666618,2154192,42089,2008018180,2494047873,714709,2441058,41784,1811205700,164523,2805215,9716735807,7655983034,9510471,1954724650,577178,1913097,34944,2176739376,1839185343,528214,1800023,30580,2287864038,1618810339,508537,1584137,33168,2048990129,1594829683,478233,1560667,29652,1677717673,128344,2092162,7007550015,8191311216,6857924,4897377,16368395,15847294250,292867,16724285822
26,2725880153,762556,2668074,42763,1700717390,2560050573,726168,2505727,41420,1820075438,2405837909,701413,2354792,41417,1744902791,2493613998,720422,2440696,42057,1607511787,167657,2910559,10185382633,6873207406,9969289,2062472809,612936,2018575,37168,1984628489,1899341891,557119,1858829,33594,1985932120,1213154514,358450,1187214,21518,1198890640,1340772944,414412,1312036,26413,1538458368,118693,1942917,6515742158,6707909617,6376654,4853476,16345943,13581117023,286350,16701124791
