timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvPkts_sum_o186i221,PortRcvData_sum_o186i221,PortXmitData_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvPkts_sum_o186i222,PortRcvData_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvData_sum_aggregate,PortXmitPkts_sum_aggregate,PortXmitWait_sum_aggregate,PortRcvPkts_sum_aggregate,PortXmitData_sum_aggregate
51,2191,1352,70,31,0,84392368,23138,82618,1077,25136134,109709412,29494,107396,1415,29473964,109709452,30559,107400,1446,36407116,3969,84543,303813423,91017214,297484,1831290638,477439,1792528,23405,419480374,2046486551,531957,2003107,26141,377759756,2103344257,547208,2058780,26959,423035181,2166424786,561699,2120532,27516,370781779,104021,2118303,8147546232,1591057090,7974947,2202846,8272431,1682074304,107990,8451359655
52,1142,1063,33,26,0,864,944,12,13,0,432,512,6,7,0,360,440,5,6,0,52,2959,2798,0,56,1692044408,438150,1656213,21413,340721001,1974754102,510770,1932899,24913,296412964,1811467531,468594,1773042,22943,324763091,1862414070,483468,1822927,23647,340437135,92916,1900982,7340680111,1302334191,7185081,1903941,7185137,1302334191,92968,7340682909
53,1295,1118,35,27,0,864,864,12,12,0,432,432,6,6,0,513,495,7,7,0,52,2909,3104,0,60,1396675328,363117,1367102,17797,271390891,1713140987,443966,1676804,21892,256951481,1670945820,433015,1635526,21254,300029216,1760395931,456402,1723124,22350,309485475,83293,1696500,6541158066,1137857063,6402556,1699409,6402616,1137857063,83345,6541161170
54,1358,1199,36,28,0,1080,1080,15,15,0,1944,1872,27,26,0,576,576,8,8,0,77,4727,4958,0,86,1379797337,357318,1350585,17448,264623695,1611257145,416957,1577112,20363,232238683,1569542209,407260,1536295,19901,274985442,1568318581,407134,1535074,19941,292956654,77653,1588669,6128915272,1064804474,5999066,1593396,5999152,1064804474,77730,6128920230
55,1529,1341,39,31,0,1098,1087,16,16,0,576,576,8,8,0,747,718,11,11,0,66,3722,3950,0,74,1312284300,342267,1284498,16757,288285525,1622477271,421131,1588101,20582,241306618,1492894762,386257,1461270,18929,292249554,1594035580,413541,1560239,20211,279928383,76479,1563196,6021691913,1101770080,5894108,1566918,5894182,1101770080,76545,6021695863
56,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,47,2567,2726,0,55,1075988779,279305,1053210,13644,204669367,1321760270,343592,1293719,16855,181543025,1379796281,357568,1350552,17500,225345707,1447309737,375331,1416640,18374,252775378,66373,1355796,5224855067,864333477,5114121,1358363,5114176,864333477,66420,5224857793
57,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,51,2837,3032,0,59,974719595,253381,954093,12402,180329814,1008474757,261285,987089,12798,146771151,1472626452,380644,1441400,18647,221934819,1472626747,381796,1441417,18643,206778394,62490,1277106,4928447551,755814178,4823999,1279943,4824058,755814178,62541,4928450583
58,2934,2471,77,53,0,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,93,5351,5814,0,117,948659399,245691,928546,12023,199358602,957840577,248573,937539,12157,167405914,1354479107,352103,1325771,17218,244934114,1362918871,353144,1334040,17258,238049485,58656,1199511,4623897954,849748115,4525896,1204862,4526013,849748115,58749,4623903768
59,1625,1334,44,30,0,1080,1080,15,15,0,576,576,8,8,0,729,711,10,10,0,63,3701,4010,0,77,932523986,243094,912789,11870,206781864,953620709,246964,933394,12138,149216871,1401923510,362957,1372224,17742,243951469,1333381323,346305,1305115,16905,253257429,58655,1199320,4621449528,853207633,4523522,1203021,4523599,853207633,58718,4621453538
60,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,47,2567,2726,0,55,951824197,248537,931684,12226,189703414,991596633,256748,970576,12541,158590286,1255804216,324888,1229168,15884,189356856,1303844420,338001,1276206,16524,233895590,57175,1168174,4503069466,771546146,4407634,1170741,4407689,771546146,57222,4503072192
61,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,51,2837,3032,0,59,1013949915,261952,992458,12827,186053015,970498942,251650,949930,12345,133337665,1514822140,392038,1482709,19190,219015401,1314362870,341198,1286524,16663,220990204,61025,1246838,4813633867,759396285,4711621,1249675,4711680,759396285,61076,4813636899
62,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,59,3431,3590,0,67,860791606,225188,842580,10929,154084458,911425126,236453,892100,11560,114640344,1228439667,318858,1202417,15528,170352509,1102899583,286143,1079511,13984,168577694,52001,1066642,4103555982,607655005,4016608,1070073,4016675,607655005,52060,4103559572
63,2337,1957,68,50,0,1080,1080,15,15,0,576,576,8,8,0,729,755,10,12,0,85,4368,4722,0,101,763741521,198512,747574,9735,171409693,881200161,228494,862555,11140,141424165,1028799228,266819,1006985,13059,174239635,999377577,259843,978221,12665,198801558,46599,953668,3673118487,685875051,3595335,958036,3595436,685875051,46684,3673123209
64,1295,1118,35,27,0,864,864,12,12,0,360,360,5,5,0,513,495,7,7,0,51,2837,3032,0,59,738424103,192518,722801,9394,137380715,894547046,231834,875587,11330,118051853,1102164881,285339,1078800,13942,166986809,1004255928,260903,982972,12762,166149243,47428,970594,3739391958,588568620,3660160,973431,3660219,588568620,47479,3739394990
65,3085,1199,115,28,0,1080,1080,15,15,0,360,360,5,5,0,360,1446,5,55,0,103,4085,4885,0,140,763744566,201842,747701,9776,98807359,683569395,177840,669089,8655,89167868,981377135,255681,960584,12399,134663590,843913657,221303,826046,10706,146632489,41536,856666,3272604753,469271306,3203420,860751,3203560,469271306,41639,3272609638
66,56314,24496,2465,933,0,5945,12552,79,402,0,5194,5653,71,71,0,6479,40816,86,1714,0,3120,83517,73932,0,2701,59137224,72573,60664,3203,12101468,282716056,79877,276792,3635,18171723,5642,6728,79,79,0,67519568,24806,66164,940,4759203,7857,183984,409378490,35032394,403699,267501,406400,35032394,10977,409452422
67,1376,1206,37,29,0,1098,1087,16,16,0,576,576,8,8,0,612,590,10,10,0,63,3459,3662,0,71,2020,1741,60,47,0,378,367,6,6,0,513,495,7,7,0,1008,1008,14,14,0,74,3611,3919,0,87,7070,158,0,137,7581
68,1511,1334,38,30,0,1080,1080,15,15,0,576,576,8,8,0,729,711,10,10,0,63,3701,3896,0,71,1568,1334,41,30,0,576,576,8,8,0,729,711,10,10,0,1080,1080,15,15,0,63,3701,3953,0,74,7402,145,0,126,7849
69,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,59,3431,3590,0,67,1430,1271,37,29,0,576,576,8,8,0,576,576,8,8,0,1080,1080,15,15,0,60,3503,3662,0,68,6934,135,0,119,7252
70,1511,1334,38,30,0,1080,1080,15,15,0,576,576,8,8,0,729,711,10,10,0,63,3701,3896,0,71,1583,1406,39,31,0,576,576,8,8,0,729,711,10,10,0,1087,1098,16,16,0,65,3791,3975,0,73,7492,144,0,128,7871
71,1188,1109,35,28,0,864,944,12,13,0,360,440,5,6,0,360,440,5,6,0,53,2933,2772,0,57,2556,2405,54,46,0,360,440,5,6,0,360,440,5,6,0,882,951,13,14,0,72,4236,4158,0,77,7169,134,0,125,6930
72,1295,1415,35,36,0,864,1161,12,21,0,385,649,7,15,0,531,733,8,15,0,87,3958,3075,0,62,1295,1415,35,36,0,360,657,5,14,0,513,792,7,16,0,864,1161,12,21,0,87,4025,3032,0,59,7983,121,0,174,6107
73,1358,1496,36,37,0,1080,1410,15,25,0,576,873,8,17,0,576,906,8,18,0,97,4685,3590,0,67,1358,1529,36,38,0,648,978,9,19,0,576,906,8,18,0,1087,1428,16,26,0,101,4841,3669,0,69,9526,136,0,198,7259
74,1511,1577,38,37,0,1080,1290,15,21,0,576,852,8,16,0,736,1005,11,19,0,93,4724,3903,0,72,1518,1562,39,37,0,648,858,9,15,0,729,921,10,16,0,1080,1290,15,21,0,89,4631,3975,0,73,9355,145,0,182,7878
