access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
rand_write,16,16m,write,14294.1036,893.4008,0.0169,16777216.0000,16384.0000,0.0035,18.3389,2.5429,18.3393,16,0
seq_read,16,16m,read,22497.1178,1406.1183,0.0109,16777216.0000,16384.0000,0.0008,11.6519,0.8384,11.6523,16,0
rand_read,16,16m,read,22762.6692,1422.7201,0.0109,16777216.0000,16384.0000,0.0008,11.5160,0.7721,11.5164,16,0
seq_write,16,64m,write,20816.4374,325.2667,0.0442,16777216.0000,65536.0000,0.0039,12.5927,1.3662,12.5931,16,0
rand_write,16,64m,write,20287.3385,316.9991,0.0495,16777216.0000,65536.0000,0.0060,12.9212,2.1559,12.9216,16,0
seq_read,16,64m,read,28566.2294,446.3698,0.0350,16777216.0000,65536.0000,0.0009,9.1762,0.6133,9.1767,16,0
rand_read,16,64m,read,28565.1177,446.3555,0.0353,16777216.0000,65536.0000,0.0009,9.1765,0.7182,9.1771,16,0
seq_write,32,128k,write,1061.1927,8489.5474,0.0037,16777216.0000,128.0000,0.0058,494.0551,9.0178,494.0554,32,0
rand_write,32,128k,write,952.2484,7617.9912,0.0042,16777216.0000,128.0000,0.0060,550.5787,5.9963,550.5791,32,0
seq_read,32,128k,read,12108.1244,96865.9571,0.0003,16777216.0000,128.0000,0.0009,43.3001,2.0516,43.3005,32,0
rand_read,32,128k,read,11042.9514,88344.3101,0.0004,16777216.0000,128.0000,0.0009,47.4768,2.5559,47.4772,32,0
seq_write,32,1m,write,11155.3678,11155.4647,0.0026,16777216.0000,1024.0000,0.0062,46.9983,3.8597,46.9987,32,0
rand_write,32,1m,write,10805.7656,10805.8462,0.0029,16777216.0000,1024.0000,0.0062,48.5189,4.7580,48.5193,32,0
seq_read,32,1m,read,27948.1583,27948.8066,0.0011,16777216.0000,1024.0000,0.0009,18.7589,1.5261,18.7593,32,0
rand_read,32,1m,read,27593.8383,27594.4858,0.0011,16777216.0000,1024.0000,0.0011,18.9997,1.6249,19.0002,32,0
seq_write,32,16m,write,19275.9794,1204.7674,0.0260,16777216.0000,16384.0000,0.0065,27.1986,3.2363,27.1990,32,0
rand_write,32,16m,write,19773.6207,1235.8683,0.0249,16777216.0000,16384.0000,0.0066,26.5142,2.1812,26.5145,32,0
seq_read,32,16m,read,28387.2463,1774.2679,0.0175,16777216.0000,16384.0000,0.0012,18.4685,1.9130,18.4691,32,0
