access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
rand_write,32,16m,write,14095.6496,880.9877,0.0354,16777216.0000,16384.0000,0.0064,37.1946,27.7129,37.1950,32,0
seq_read,32,16m,read,15381.0855,961.3335,0.0248,16777216.0000,16384.0000,0.0010,34.0860,26.8561,34.0865,32,0
rand_read,32,16m,read,18001.6689,1125.1216,0.0284,16777216.0000,16384.0000,0.0010,29.1240,21.7366,29.1244,32,0
seq_write,32,64m,write,35099.9721,548.4504,0.0522,16777216.0000,65536.0000,0.0078,14.9366,8.7416,14.9370,32,0
rand_write,32,64m,write,33173.0197,518.3410,0.0612,16777216.0000,65536.0000,0.0064,15.8043,9.8457,15.8047,32,0
seq_read,32,64m,read,34211.4920,534.5725,0.0512,16777216.0000,65536.0000,0.0017,15.3244,9.0776,15.3249,32,0
rand_read,32,64m,read,33058.7247,516.5573,0.0611,16777216.0000,65536.0000,0.0009,15.8588,8.9841,15.8593,32,0
seq_write,64,128k,write,1117.2647,8938.1211,0.0066,16777216.0000,128.0000,0.0114,938.5203,659.1043,938.5207,64,0
rand_write,64,128k,write,251.7107,2013.6855,0.0266,16777216.0000,128.0000,0.0127,4165.7985,3887.6206,4165.7989,64,0
seq_read,64,128k,read,3292.7782,26342.2676,0.0022,16777216.0000,128.0000,0.0070,318.4467,276.5076,318.4472,64,0
rand_read,64,128k,read,481.8328,3854.6637,0.0165,16777216.0000,128.0000,0.0016,2176.2231,2136.2448,2176.2237,64,0
seq_write,64,1m,write,22598.1454,22598.3285,0.0024,16777216.0000,1024.0000,0.0124,46.4006,25.9561,46.4010,64,0
rand_write,64,1m,write,11404.7816,11404.8217,0.0056,16777216.0000,1024.0000,0.0125,91.9415,72.3635,91.9418,64,0
seq_read,64,1m,read,13486.0694,13486.1597,0.0044,16777216.0000,1024.0000,0.0016,77.7520,66.2814,77.7525,64,0
rand_read,64,1m,read,4197.1290,4197.1409,0.0151,16777216.0000,1024.0000,0.0020,249.8310,238.1311,249.8317,64,0
seq_write,64,16m,write,24703.3725,1543.9742,0.0410,16777216.0000,16384.0000,0.0123,42.4463,30.7109,42.4467,64,0
rand_write,64,16m,write,19031.9452,1189.5046,0.0529,16777216.0000,16384.0000,0.0128,55.0952,42.9643,55.0956,64,0
